Source,Target,Type,Id,Label,timeset,Weight,action
133,60,Directed,14929,text_reply,,1,text_reply
133,23,Directed,14930,text_reply,,2,text_reply
23,133,Directed,14931,text_reply,,1,text_reply
133,80,Directed,14932,text_reply,,1,text_reply
80,3,Directed,14934,text_reply,,1,text_reply
133,101,Directed,14935,text_reply,,2,text_reply
133,144,Directed,14937,text_reply,,2,text_reply
110,86,Directed,14939,text_reply,,1,text_reply
80,144,Directed,14940,text_reply,,1,text_reply
136,67,Directed,14942,text_reply,,1,text_reply
60,136,Directed,14943,text_reply,,1,text_reply
101,67,Directed,14944,text_reply,,2,text_reply
133,67,Directed,14945,text_reply,,1,text_reply
67,144,Directed,14946,text_reply,,1,text_reply
67,101,Directed,14947,text_reply,,3,text_reply
101,139,Directed,14948,text_reply,,1,text_reply
67,4,Directed,14950,text_reply,,2,text_reply
67,147,Directed,14958,text_reply,,1,text_reply
136,10,Directed,14965,invite_members,,1,invite_members
101,48,Directed,14969,text_reply,,1,text_reply
133,48,Directed,14971,text_reply,,1,text_reply
48,133,Directed,14974,text_reply,,1,text_reply
150,4,Directed,14977,text_reply,,2,text_reply
101,4,Directed,14978,text_reply,,1,text_reply
101,133,Directed,14980,text_reply,,4,text_reply
150,133,Directed,14981,text_reply,,1,text_reply
133,4,Directed,14983,text_reply,,1,text_reply
101,34,Directed,14993,text_reply,,2,text_reply
77,19,Directed,15002,text_reply,,1,text_reply
147,77,Directed,15003,text_reply,,1,text_reply
133,19,Directed,15005,text_reply,,1,text_reply
19,133,Directed,15007,text_reply,,1,text_reply
144,133,Directed,15009,text_reply,,1,text_reply
34,2,Directed,15010,text_reply,,1,text_reply
2,34,Directed,15011,text_reply,,1,text_reply
141,117,Directed,15018,invite_members,,1,invite_members
13,147,Directed,15019,text_reply,,1,text_reply
67,116,Directed,15020,text_reply,,1,text_reply
101,13,Directed,15021,text_reply,,1,text_reply
2,64,Directed,15022,text_reply,,2,text_reply
34,26,Directed,15024,text_reply,,1,text_reply
26,34,Directed,15025,text_reply,,1,text_reply
103,122,Directed,15026,text_reply,,3,text_reply
17,122,Directed,15027,text_reply,,1,text_reply
122,17,Directed,15028,text_reply,,1,text_reply
122,103,Directed,15029,text_reply,,2,text_reply
61,122,Directed,15030,text_reply,,1,text_reply
122,61,Directed,15031,text_reply,,1,text_reply
110,33,Directed,15037,text_reply,,1,text_reply
65,133,Directed,15038,text_reply,,5,text_reply
65,33,Directed,15039,text_reply,,1,text_reply
115,65,Directed,15042,text_reply,,1,text_reply
65,105,Directed,15048,text_reply,,1,text_reply
34,133,Directed,15049,text_reply,,1,text_reply
136,110,Directed,15051,text_reply,,1,text_reply
65,65,Directed,15056,text_reply,,1,text_reply
47,133,Directed,15058,text_reply,,1,text_reply
101,65,Directed,15059,text_reply,,1,text_reply
101,115,Directed,15060,text_reply,,1,text_reply
53,106,Directed,15061,invite_members,,1,invite_members
34,110,Directed,15062,text_reply,,2,text_reply
2,100,Directed,15064,text_reply,,1,text_reply
83,36,Directed,15065,invite_members,,1,invite_members
127,28,Directed,15066,text_reply,,2,text_reply
3,79,Directed,15067,text_reply,,1,text_reply
3,93,Directed,15068,text_reply,,1,text_reply
49,79,Directed,15069,text_reply,,1,text_reply
110,93,Directed,15070,text_reply,,1,text_reply
65,28,Directed,15071,text_reply,,1,text_reply
93,110,Directed,15072,text_reply,,1,text_reply
93,1,Directed,15073,invite_members,,1,invite_members
127,95,Directed,15074,invite_members,,1,invite_members
2,38,Directed,15075,text_reply,,1,text_reply
28,65,Directed,15076,text_reply,,1,text_reply
66,77,Directed,15078,text_reply,,1,text_reply
66,28,Directed,15079,text_reply,,1,text_reply
132,118,Directed,15080,invite_members,,1,invite_members
47,65,Directed,15081,text_reply,,2,text_reply
127,87,Directed,15082,invite_members,,1,invite_members
111,121,Directed,15083,text_reply,,3,text_reply
111,47,Directed,15085,text_reply,,1,text_reply
47,121,Directed,15087,text_reply,,1,text_reply
47,111,Directed,15088,text_reply,,1,text_reply
34,28,Directed,15089,text_reply,,1,text_reply
34,47,Directed,15091,text_reply,,1,text_reply
65,47,Directed,15092,text_reply,,1,text_reply
111,7,Directed,15093,text_reply,,1,text_reply
7,144,Directed,15094,text_reply,,1,text_reply
28,131,Directed,15095,text_reply,,1,text_reply
85,88,Directed,15096,invite_members,,1,invite_members
132,43,Directed,15097,text_reply,,1,text_reply
132,47,Directed,15098,text_reply,,2,text_reply
47,43,Directed,15099,text_reply,,1,text_reply
123,126,Directed,15101,invite_members,,1,invite_members
138,34,Directed,15102,text_reply,,3,text_reply
127,108,Directed,15103,text_reply,,1,text_reply
137,144,Directed,15104,text_reply,,1,text_reply
135,131,Directed,15105,text_reply,,1,text_reply
57,131,Directed,15106,text_reply,,1,text_reply
65,43,Directed,15107,text_reply,,1,text_reply
131,57,Directed,15108,text_reply,,1,text_reply
47,136,Directed,15109,text_reply,,1,text_reply
136,47,Directed,15110,text_reply,,1,text_reply
127,135,Directed,15111,text_reply,,1,text_reply
28,34,Directed,15112,text_reply,,1,text_reply
28,7,Directed,15113,text_reply,,1,text_reply
7,28,Directed,15114,text_reply,,1,text_reply
10,34,Directed,15115,text_reply,,1,text_reply
87,87,Directed,15116,text_reply,,1,text_reply
104,8,Directed,15117,invite_members,,1,invite_members
76,109,Directed,15118,invite_members,,1,invite_members
136,136,Directed,15119,text_reply,,1,text_reply
34,98,Directed,15120,text_reply,,1,text_reply
7,98,Directed,15121,text_reply,,1,text_reply
98,7,Directed,15122,text_reply,,1,text_reply
133,9,Directed,15123,text_reply,,1,text_reply
132,9,Directed,15124,text_reply,,1,text_reply
138,132,Directed,15125,text_reply,,1,text_reply
112,34,Directed,15126,text_reply,,1,text_reply
143,51,Directed,15127,text_reply,,1,text_reply
