Source,Target,Type,Id,Label,timeset,Weight,action
96,90,Directed,12122,text_reply,,9,text_reply
64,47,Directed,12140,text_reply,,13,text_reply
105,47,Directed,12146,text_reply,,1,text_reply
61,47,Directed,12147,text_reply,,1,text_reply
20,64,Directed,12151,text_reply,,15,text_reply
23,20,Directed,12160,text_reply,,10,text_reply
44,64,Directed,12165,text_reply,,1,text_reply
23,44,Directed,12166,text_reply,,1,text_reply
44,23,Directed,12169,text_reply,,1,text_reply
44,101,Directed,12170,text_reply,,1,text_reply
64,44,Directed,12171,text_reply,,1,text_reply
101,44,Directed,12172,text_reply,,1,text_reply
24,54,Directed,12173,text_reply,,30,text_reply
54,24,Directed,12175,text_reply,,19,text_reply
64,24,Directed,12176,text_reply,,16,text_reply
24,64,Directed,12183,text_reply,,27,text_reply
90,47,Directed,12195,text_reply,,3,text_reply
24,16,Directed,12197,text_reply,,12,text_reply
16,64,Directed,12212,text_reply,,10,text_reply
64,26,Directed,12215,text_reply,,3,text_reply
26,64,Directed,12216,text_reply,,2,text_reply
23,26,Directed,12219,text_reply,,1,text_reply
77,54,Directed,12285,text_reply,,6,text_reply
79,54,Directed,12287,text_reply,,9,text_reply
64,28,Directed,12293,text_reply,,18,text_reply
28,64,Directed,12301,text_reply,,18,text_reply
105,28,Directed,12310,text_reply,,6,text_reply
16,28,Directed,12312,text_reply,,3,text_reply
28,16,Directed,12313,text_reply,,10,text_reply
20,105,Directed,12322,text_reply,,2,text_reply
24,96,Directed,12334,text_reply,,14,text_reply
54,96,Directed,12342,text_reply,,3,text_reply
54,79,Directed,12352,text_reply,,11,text_reply
64,79,Directed,12353,text_reply,,5,text_reply
96,79,Directed,12356,text_reply,,5,text_reply
79,96,Directed,12357,text_reply,,2,text_reply
79,64,Directed,12360,text_reply,,3,text_reply
28,47,Directed,12397,text_reply,,6,text_reply
24,28,Directed,12409,text_reply,,8,text_reply
28,24,Directed,12410,text_reply,,7,text_reply
105,24,Directed,12421,text_reply,,2,text_reply
24,105,Directed,12423,text_reply,,4,text_reply
54,104,Directed,12443,text_reply,,4,text_reply
96,104,Directed,12444,text_reply,,2,text_reply
23,104,Directed,12481,text_reply,,3,text_reply
104,23,Directed,12483,text_reply,,2,text_reply
64,104,Directed,12485,text_reply,,14,text_reply
104,64,Directed,12486,text_reply,,15,text_reply
123,54,Directed,12489,text_reply,,9,text_reply
54,123,Directed,12490,text_reply,,19,text_reply
96,123,Directed,12492,text_reply,,6,text_reply
123,96,Directed,12493,text_reply,,4,text_reply
24,23,Directed,12495,text_reply,,13,text_reply
23,24,Directed,12503,text_reply,,7,text_reply
105,104,Directed,12523,text_reply,,1,text_reply
123,23,Directed,12542,text_reply,,10,text_reply
23,123,Directed,12543,text_reply,,16,text_reply
77,90,Directed,12560,text_reply,,1,text_reply
90,77,Directed,12562,text_reply,,1,text_reply
77,105,Directed,12563,text_reply,,1,text_reply
104,105,Directed,12565,text_reply,,1,text_reply
24,123,Directed,12568,text_reply,,1,text_reply
47,54,Directed,12570,text_reply,,3,text_reply
123,47,Directed,12574,text_reply,,3,text_reply
104,47,Directed,12577,text_reply,,1,text_reply
28,104,Directed,12578,text_reply,,7,text_reply
104,28,Directed,12579,text_reply,,5,text_reply
20,123,Directed,12592,text_reply,,3,text_reply
90,104,Directed,12593,text_reply,,2,text_reply
104,54,Directed,12603,text_reply,,3,text_reply
96,49,Directed,12609,text_reply,,1,text_reply
123,28,Directed,12614,text_reply,,2,text_reply
28,123,Directed,12615,text_reply,,3,text_reply
123,20,Directed,12630,text_reply,,1,text_reply
64,64,Directed,12651,text_reply,,3,text_reply
57,105,Directed,12671,text_reply,,1,text_reply
24,24,Directed,12679,text_reply,,8,text_reply
57,64,Directed,12688,text_reply,,2,text_reply
64,57,Directed,12689,text_reply,,1,text_reply
23,57,Directed,12693,text_reply,,1,text_reply
23,32,Directed,12707,text_reply,,8,text_reply
104,16,Directed,12714,text_reply,,22,text_reply
123,104,Directed,12715,text_reply,,2,text_reply
16,104,Directed,12716,text_reply,,12,text_reply
104,123,Directed,12717,text_reply,,2,text_reply
32,16,Directed,12734,text_reply,,1,text_reply
16,32,Directed,12737,text_reply,,2,text_reply
90,123,Directed,12743,text_reply,,1,text_reply
57,77,Directed,12749,text_reply,,1,text_reply
47,61,Directed,12750,text_reply,,2,text_reply
54,59,Directed,12759,text_reply,,1,text_reply
23,79,Directed,12764,text_reply,,3,text_reply
59,64,Directed,12772,text_reply,,2,text_reply
64,59,Directed,12773,text_reply,,3,text_reply
57,23,Directed,12779,text_reply,,1,text_reply
118,54,Directed,12780,text_reply,,59,text_reply
54,118,Directed,12783,text_reply,,49,text_reply
21,54,Directed,12791,text_reply,,1,text_reply
54,21,Directed,12792,text_reply,,1,text_reply
90,118,Directed,12794,text_reply,,2,text_reply
104,32,Directed,12798,text_reply,,3,text_reply
64,32,Directed,12800,text_reply,,23,text_reply
32,64,Directed,12801,text_reply,,19,text_reply
118,32,Directed,12806,text_reply,,4,text_reply
28,118,Directed,12812,text_reply,,4,text_reply
118,123,Directed,12855,text_reply,,8,text_reply
16,123,Directed,12857,text_reply,,1,text_reply
23,118,Directed,12859,text_reply,,17,text_reply
118,23,Directed,12863,text_reply,,19,text_reply
77,118,Directed,12869,text_reply,,2,text_reply
118,28,Directed,12874,text_reply,,2,text_reply
118,47,Directed,12878,text_reply,,11,text_reply
16,118,Directed,12898,text_reply,,8,text_reply
118,16,Directed,12900,text_reply,,8,text_reply
16,47,Directed,12901,text_reply,,4,text_reply
47,23,Directed,12913,text_reply,,3,text_reply
123,118,Directed,12914,text_reply,,9,text_reply
105,59,Directed,12939,text_reply,,1,text_reply
105,118,Directed,12944,text_reply,,7,text_reply
118,104,Directed,12946,text_reply,,2,text_reply
104,118,Directed,12947,text_reply,,3,text_reply
118,105,Directed,12952,text_reply,,7,text_reply
32,118,Directed,12954,text_reply,,5,text_reply
32,54,Directed,12955,text_reply,,3,text_reply
118,118,Directed,12956,text_reply,,1,text_reply
55,47,Directed,12960,text_reply,,3,text_reply
64,118,Directed,12964,text_reply,,15,text_reply
118,64,Directed,12973,text_reply,,16,text_reply
105,32,Directed,12986,text_reply,,3,text_reply
32,105,Directed,12987,text_reply,,4,text_reply
96,32,Directed,12988,text_reply,,4,text_reply
24,118,Directed,12992,text_reply,,17,text_reply
96,24,Directed,12994,text_reply,,3,text_reply
118,96,Directed,13006,text_reply,,3,text_reply
123,64,Directed,13008,text_reply,,5,text_reply
64,123,Directed,13009,text_reply,,10,text_reply
47,105,Directed,13045,text_reply,,1,text_reply
54,32,Directed,13049,text_reply,,1,text_reply
101,61,Directed,13059,text_reply,,3,text_reply
101,101,Directed,13062,text_reply,,1,text_reply
23,101,Directed,13064,text_reply,,1,text_reply
101,23,Directed,13065,text_reply,,2,text_reply
79,118,Directed,13086,text_reply,,1,text_reply
24,79,Directed,13090,text_reply,,2,text_reply
118,24,Directed,13102,text_reply,,10,text_reply
54,81,Directed,13195,text_reply,,68,text_reply
81,54,Directed,13196,text_reply,,64,text_reply
81,64,Directed,13197,text_reply,,36,text_reply
64,81,Directed,13198,text_reply,,29,text_reply
81,47,Directed,13201,text_reply,,6,text_reply
47,64,Directed,13209,text_reply,,2,text_reply
47,81,Directed,13225,text_reply,,1,text_reply
47,123,Directed,13227,text_reply,,2,text_reply
81,123,Directed,13228,text_reply,,10,text_reply
